"curation_id","original_fmt_id","original_fmt_role","curated_fmt_role","curated_fmt_id","curated_fmt_id_source","curated_fmt_role_source"
"AsnicarF_2021:SAMEA7041188",NA,NA,NA,NA,NA,NA
"AsnicarF_2021:SAMEA7041189",NA,NA,NA,NA,NA,NA
"AsnicarF_2021:SAMEA7041190",NA,NA,NA,NA,NA,NA
"AsnicarF_2021:SAMEA7041191",NA,NA,NA,NA,NA,NA
"AsnicarF_2021:SAMEA7041192",NA,NA,NA,NA,NA,NA
"AsnicarF_2021:SAMEA7041193",NA,NA,NA,NA,NA,NA
"AsnicarF_2021:SAMEA7041194",NA,NA,NA,NA,NA,NA
"AsnicarF_2021:SAMEA7041195",NA,NA,NA,NA,NA,NA
"AsnicarF_2021:SAMEA7041196",NA,NA,NA,NA,NA,NA
"AsnicarF_2021:SAMEA7041197",NA,NA,NA,NA,NA,NA
"AsnicarF_2021:SAMEA7041198",NA,NA,NA,NA,NA,NA
"AsnicarF_2021:SAMEA7041199",NA,NA,NA,NA,NA,NA
"AsnicarF_2021:SAMEA7041200",NA,NA,NA,NA,NA,NA
"AsnicarF_2021:SAMEA7041201",NA,NA,NA,NA,NA,NA
"AsnicarF_2021:SAMEA7041202",NA,NA,NA,NA,NA,NA
"AsnicarF_2021:SAMEA7041203",NA,NA,NA,NA,NA,NA
"AsnicarF_2021:SAMEA7041204",NA,NA,NA,NA,NA,NA
"AsnicarF_2021:SAMEA7041205",NA,NA,NA,NA,NA,NA
"AsnicarF_2021:SAMEA7041206",NA,NA,NA,NA,NA,NA
"AsnicarF_2021:SAMEA7041207",NA,NA,NA,NA,NA,NA
"AsnicarF_2021:SAMEA7041208",NA,NA,NA,NA,NA,NA
"AsnicarF_2021:SAMEA7041209",NA,NA,NA,NA,NA,NA
"AsnicarF_2021:SAMEA7041210",NA,NA,NA,NA,NA,NA
"AsnicarF_2021:SAMEA7041211",NA,NA,NA,NA,NA,NA
"AsnicarF_2021:SAMEA7041212",NA,NA,NA,NA,NA,NA
"AsnicarF_2021:SAMEA7041213",NA,NA,NA,NA,NA,NA
"AsnicarF_2021:SAMEA7041214",NA,NA,NA,NA,NA,NA
"AsnicarF_2021:SAMEA7041215",NA,NA,NA,NA,NA,NA
"AsnicarF_2021:SAMEA7041216",NA,NA,NA,NA,NA,NA
"AsnicarF_2021:SAMEA7041217",NA,NA,NA,NA,NA,NA
"AsnicarF_2021:SAMEA7041218",NA,NA,NA,NA,NA,NA
"AsnicarF_2021:SAMEA7041219",NA,NA,NA,NA,NA,NA
"AsnicarF_2021:SAMEA7041220",NA,NA,NA,NA,NA,NA
"AsnicarF_2021:SAMEA7041221",NA,NA,NA,NA,NA,NA
"AsnicarF_2021:SAMEA7041222",NA,NA,NA,NA,NA,NA
"AsnicarF_2021:SAMEA7041223",NA,NA,NA,NA,NA,NA
"AsnicarF_2021:SAMEA7041224",NA,NA,NA,NA,NA,NA
"AsnicarF_2021:SAMEA7041225",NA,NA,NA,NA,NA,NA
"AsnicarF_2021:SAMEA7041226",NA,NA,NA,NA,NA,NA
"AsnicarF_2021:SAMEA7041227",NA,NA,NA,NA,NA,NA
"AsnicarF_2021:SAMEA7041228",NA,NA,NA,NA,NA,NA
"AsnicarF_2021:SAMEA7041229",NA,NA,NA,NA,NA,NA
"AsnicarF_2021:SAMEA7041230",NA,NA,NA,NA,NA,NA
"AsnicarF_2021:SAMEA7041231",NA,NA,NA,NA,NA,NA
"AsnicarF_2021:SAMEA7041232",NA,NA,NA,NA,NA,NA
"AsnicarF_2021:SAMEA7041233",NA,NA,NA,NA,NA,NA
"AsnicarF_2021:SAMEA7041234",NA,NA,NA,NA,NA,NA
"AsnicarF_2021:SAMEA7041235",NA,NA,NA,NA,NA,NA
"AsnicarF_2021:SAMEA7041236",NA,NA,NA,NA,NA,NA
"AsnicarF_2021:SAMEA7041237",NA,NA,NA,NA,NA,NA
"AsnicarF_2021:SAMEA7041238",NA,NA,NA,NA,NA,NA
"AsnicarF_2021:SAMEA7041239",NA,NA,NA,NA,NA,NA
"AsnicarF_2021:SAMEA7041240",NA,NA,NA,NA,NA,NA
"AsnicarF_2021:SAMEA7041241",NA,NA,NA,NA,NA,NA
"AsnicarF_2021:SAMEA7041242",NA,NA,NA,NA,NA,NA
"AsnicarF_2021:SAMEA7041243",NA,NA,NA,NA,NA,NA
"AsnicarF_2021:SAMEA7041244",NA,NA,NA,NA,NA,NA
"AsnicarF_2021:SAMEA7041245",NA,NA,NA,NA,NA,NA
"AsnicarF_2021:SAMEA7041246",NA,NA,NA,NA,NA,NA
"AsnicarF_2021:SAMEA7041247",NA,NA,NA,NA,NA,NA
"AsnicarF_2021:SAMEA7041248",NA,NA,NA,NA,NA,NA
"AsnicarF_2021:SAMEA7041249",NA,NA,NA,NA,NA,NA
"AsnicarF_2021:SAMEA7041250",NA,NA,NA,NA,NA,NA
"AsnicarF_2021:SAMEA7041251",NA,NA,NA,NA,NA,NA
"AsnicarF_2021:SAMEA7041252",NA,NA,NA,NA,NA,NA
"AsnicarF_2021:SAMEA7041253",NA,NA,NA,NA,NA,NA
"AsnicarF_2021:SAMEA7041254",NA,NA,NA,NA,NA,NA
"AsnicarF_2021:SAMEA7041255",NA,NA,NA,NA,NA,NA
"AsnicarF_2021:SAMEA7041256",NA,NA,NA,NA,NA,NA
"AsnicarF_2021:SAMEA7041257",NA,NA,NA,NA,NA,NA
"AsnicarF_2021:SAMEA7041258",NA,NA,NA,NA,NA,NA
"AsnicarF_2021:SAMEA7041259",NA,NA,NA,NA,NA,NA
"AsnicarF_2021:SAMEA7041260",NA,NA,NA,NA,NA,NA
"AsnicarF_2021:SAMEA7041261",NA,NA,NA,NA,NA,NA
"AsnicarF_2021:SAMEA7041262",NA,NA,NA,NA,NA,NA
"AsnicarF_2021:SAMEA7041263",NA,NA,NA,NA,NA,NA
"AsnicarF_2021:SAMEA7041264",NA,NA,NA,NA,NA,NA
"AsnicarF_2021:SAMEA7041265",NA,NA,NA,NA,NA,NA
"AsnicarF_2021:SAMEA7041266",NA,NA,NA,NA,NA,NA
"AsnicarF_2021:SAMEA7041267",NA,NA,NA,NA,NA,NA
"AsnicarF_2021:SAMEA7041268",NA,NA,NA,NA,NA,NA
"AsnicarF_2021:SAMEA7041269",NA,NA,NA,NA,NA,NA
"AsnicarF_2021:SAMEA7041270",NA,NA,NA,NA,NA,NA
"AsnicarF_2021:SAMEA7041271",NA,NA,NA,NA,NA,NA
"AsnicarF_2021:SAMEA7041272",NA,NA,NA,NA,NA,NA
"AsnicarF_2021:SAMEA7041273",NA,NA,NA,NA,NA,NA
"AsnicarF_2021:SAMEA7041274",NA,NA,NA,NA,NA,NA
"AsnicarF_2021:SAMEA7041275",NA,NA,NA,NA,NA,NA
"AsnicarF_2021:SAMEA7041276",NA,NA,NA,NA,NA,NA
"AsnicarF_2021:SAMEA7041277",NA,NA,NA,NA,NA,NA
"AsnicarF_2021:SAMEA7041278",NA,NA,NA,NA,NA,NA
"AsnicarF_2021:SAMEA7041279",NA,NA,NA,NA,NA,NA
"AsnicarF_2021:SAMEA7041280",NA,NA,NA,NA,NA,NA
"AsnicarF_2021:SAMEA7045002",NA,NA,NA,NA,NA,NA
"AsnicarF_2021:SAMEA7045003",NA,NA,NA,NA,NA,NA
"AsnicarF_2021:SAMEA7045004",NA,NA,NA,NA,NA,NA
"AsnicarF_2021:SAMEA7045005",NA,NA,NA,NA,NA,NA
"AsnicarF_2021:SAMEA7045006",NA,NA,NA,NA,NA,NA
"AsnicarF_2021:SAMEA7045007",NA,NA,NA,NA,NA,NA
"AsnicarF_2021:SAMEA7045008",NA,NA,NA,NA,NA,NA
"AsnicarF_2021:SAMEA7045009",NA,NA,NA,NA,NA,NA
"AsnicarF_2021:SAMEA7045010",NA,NA,NA,NA,NA,NA
"AsnicarF_2021:SAMEA7045011",NA,NA,NA,NA,NA,NA
"AsnicarF_2021:SAMEA7045012",NA,NA,NA,NA,NA,NA
"AsnicarF_2021:SAMEA7045013",NA,NA,NA,NA,NA,NA
"AsnicarF_2021:SAMEA7045014",NA,NA,NA,NA,NA,NA
"AsnicarF_2021:SAMEA7045015",NA,NA,NA,NA,NA,NA
"AsnicarF_2021:SAMEA7045016",NA,NA,NA,NA,NA,NA
"AsnicarF_2021:SAMEA7045017",NA,NA,NA,NA,NA,NA
"AsnicarF_2021:SAMEA7045018",NA,NA,NA,NA,NA,NA
"AsnicarF_2021:SAMEA7045019",NA,NA,NA,NA,NA,NA
"AsnicarF_2021:SAMEA7045020",NA,NA,NA,NA,NA,NA
"AsnicarF_2021:SAMEA7045021",NA,NA,NA,NA,NA,NA
"AsnicarF_2021:SAMEA7045022",NA,NA,NA,NA,NA,NA
"AsnicarF_2021:SAMEA7045023",NA,NA,NA,NA,NA,NA
"AsnicarF_2021:SAMEA7045024",NA,NA,NA,NA,NA,NA
"AsnicarF_2021:SAMEA7045025",NA,NA,NA,NA,NA,NA
"AsnicarF_2021:SAMEA7045026",NA,NA,NA,NA,NA,NA
"AsnicarF_2021:SAMEA7045027",NA,NA,NA,NA,NA,NA
"AsnicarF_2021:SAMEA7045028",NA,NA,NA,NA,NA,NA
"AsnicarF_2021:SAMEA7045029",NA,NA,NA,NA,NA,NA
"AsnicarF_2021:SAMEA7045030",NA,NA,NA,NA,NA,NA
"AsnicarF_2021:SAMEA7045031",NA,NA,NA,NA,NA,NA
"AsnicarF_2021:SAMEA7045032",NA,NA,NA,NA,NA,NA
"AsnicarF_2021:SAMEA7045033",NA,NA,NA,NA,NA,NA
"AsnicarF_2021:SAMEA7045034",NA,NA,NA,NA,NA,NA
"AsnicarF_2021:SAMEA7045035",NA,NA,NA,NA,NA,NA
"AsnicarF_2021:SAMEA7045036",NA,NA,NA,NA,NA,NA
"AsnicarF_2021:SAMEA7045037",NA,NA,NA,NA,NA,NA
"AsnicarF_2021:SAMEA7045038",NA,NA,NA,NA,NA,NA
"AsnicarF_2021:SAMEA7045039",NA,NA,NA,NA,NA,NA
