"curation_id","curated_body_site","curated_body_site_ontology_term_id","curated_body_subsite","curated_body_subsite_ontology_term_id","curated_body_subsite_source"
"AsnicarF_2021:SAMEA7041182","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2021:SAMEA7041183","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2021:SAMEA7041184","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2021:SAMEA7041185","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2021:SAMEA7041186","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2021:SAMEA7041187","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2021:SAMEA7041188","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2021:SAMEA7041189","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2021:SAMEA7041190","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2021:SAMEA7041191","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2021:SAMEA7041192","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2021:SAMEA7041193","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2021:SAMEA7041194","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2021:SAMEA7041195","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2021:SAMEA7041196","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2021:SAMEA7041197","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2021:SAMEA7041198","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2021:SAMEA7041199","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2021:SAMEA7041200","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2021:SAMEA7041201","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2021:SAMEA7041202","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2021:SAMEA7041203","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2021:SAMEA7041204","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2021:SAMEA7041205","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2021:SAMEA7041206","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2021:SAMEA7041207","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2021:SAMEA7041208","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2021:SAMEA7041209","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2021:SAMEA7041210","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2021:SAMEA7041211","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2021:SAMEA7041212","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2021:SAMEA7041213","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2021:SAMEA7041214","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2021:SAMEA7041215","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2021:SAMEA7041216","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2021:SAMEA7041217","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2021:SAMEA7041218","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2021:SAMEA7041219","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2021:SAMEA7041220","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2021:SAMEA7041221","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2021:SAMEA7041222","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2021:SAMEA7041223","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2021:SAMEA7041224","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2021:SAMEA7041225","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2021:SAMEA7041226","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2021:SAMEA7041227","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2021:SAMEA7041228","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2021:SAMEA7041229","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2021:SAMEA7041230","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2021:SAMEA7041231","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2021:SAMEA7041232","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2021:SAMEA7041233","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2021:SAMEA7041234","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2021:SAMEA7041235","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2021:SAMEA7041236","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2021:SAMEA7041237","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2021:SAMEA7041238","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2021:SAMEA7041239","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2021:SAMEA7041240","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2021:SAMEA7041241","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2021:SAMEA7041242","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2021:SAMEA7041243","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2021:SAMEA7041244","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2021:SAMEA7041245","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2021:SAMEA7041246","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2021:SAMEA7041247","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2021:SAMEA7041248","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2021:SAMEA7041249","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2021:SAMEA7041250","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2021:SAMEA7041251","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2021:SAMEA7041252","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2021:SAMEA7041253","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2021:SAMEA7041254","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2021:SAMEA7041255","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2021:SAMEA7041256","feces","UBERON:0001988",NA,NA,NA
