"curation_id","original_westernized","curated_westernized","curated_westernized_source"
"AsnicarF_2021:SAMEA7041176","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7041177","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7041178","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7041179","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7041180","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7041181","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7041182","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7041183","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7041184","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7041185","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7041186","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7041187","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7041188","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7041189","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7041190","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7041191","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7041192","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7041193","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7041194","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7041195","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7041196","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7041197","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7041198","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7041199","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7041200","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7041201","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7041202","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7041203","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7041204","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7041205","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7041206","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7041207","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7041208","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7041209","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7041210","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7041211","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7041212","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7041213","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7041214","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7041215","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7041216","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7041217","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7041218","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7041219","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7041220","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7041221","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7041222","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7041223","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7041224","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7041225","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7041226","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7041227","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7041228","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7041229","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7041230","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7041231","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7041232","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7041233","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7041234","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7041235","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7041236","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7041237","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7041238","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7041239","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7041240","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7041241","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7041242","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7041243","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7041244","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7041245","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7041246","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7041247","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7041248","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7041249","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7041250","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7041251","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7041252","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7041253","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7041254","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7041255","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7041256","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7041257","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7041258","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7041259","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7041260","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7041261","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7041262","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7041263","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7041264","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7041265","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7041266","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7041267","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7041268","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7041269","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7041270","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7041271","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7041272","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7041273","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7041274","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7041275","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7041276","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7041277","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7041278","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7041279","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7041280","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7045002","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7045003","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7045004","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7045005","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7045006","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7045007","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7045008","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7045009","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7045010","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7045011","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7045012","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7045013","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7045014","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7045015","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7045016","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7045017","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7045018","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7045019","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7045020","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7045021","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7045022","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7045023","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7045024","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7045025","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7045026","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7045027","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7045028","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7045029","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7045030","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7045031","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7045032","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7045033","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7045034","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7045035","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7045036","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7045037","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7045038","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7045039","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7045040","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7045041","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7045042","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7045043","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7045044","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7045045","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7045046","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7045047","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7045048","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7045049","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7045050","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7045051","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7045052","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7045053","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7045054","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7045055","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7045056","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7045057","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7045058","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7045059","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7045060","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7045061","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7045062","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7045063","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7045064","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7045065","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7045066","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7045067","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7045068","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7045069","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7045070","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7045071","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7045072","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7045073","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7045074","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7045075","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7045076","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7045077","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7045078","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7045079","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7045080","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7045081","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7045082","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7045083","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7045084","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7045085","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7045086","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7045087","no","Yes","non_westernized"
"AsnicarF_2021:SAMEA7045088","no","Yes","non_westernized"
