original_value,curated_ontology_term_id_link,onto_source,curated_ontology,curated_ontology_term_id
MALE,http://purl.obolibrary.org/obo/NCIT_C20197,NCIT,Male,NCIT_C20197
FEMALE,http://purl.obolibrary.org/obo/NCIT_C16576,NCIT,Female,NCIT_C16576
